Timestamp (UTC),Open,High,Low,Close,RB Jun23-Jul23 Calendar: Volume,RB Jun23-Jul23 Calendar: ATR ‌ATR‌ (14)
2023-02-20 16:00:00,0.0380,0.0380,0.0380,0.0380,14,4.654858128
2023-02-20 16:15:00,0.0380,0.0386,0.0380,0.0385,65,4.75093969
2023-02-20 16:30:00,0.0385,0.0387,0.0385,0.0387,8,4.554443998
2023-02-20 16:45:00,0.0387,0.0387,0.0386,0.0386,4,4.300555141
2023-02-20 17:00:00,0.0384,0.0384,0.0384,0.0384,3,4.136229774
2023-02-20 17:30:00,0.0387,0.0387,0.0387,0.0387,1,4.055070504
2023-02-20 17:45:00,0.0386,0.0388,0.0385,0.0386,6,3.979708325
2023-02-20 18:00:00,0.0386,0.0386,0.0386,0.0386,3,3.695443445
2023-02-20 18:30:00,0.0385,0.0385,0.0385,0.0385,1,3.50291177
2023-02-20 18:45:00,0.0386,0.0386,0.0384,0.0384,3,3.39556093
2023-02-20 19:00:00,0.0386,0.0386,0.0386,0.0386,1,3.295878006
2023-02-20 19:15:00,0.0385,0.0386,0.0385,0.0386,14,3.13188672
2023-02-21 01:00:00,0.0381,0.0381,0.0381,0.0381,3,3.265323383
2023-02-21 01:30:00,0.0382,0.0382,0.0382,0.0382,1,3.10351457
2023-02-21 02:45:00,0.0381,0.0382,0.0381,0.0382,4,2.953263529
2023-02-21 03:30:00,0.0383,0.0383,0.0380,0.0380,8,2.956601848
2023-02-21 04:15:00,0.0383,0.0383,0.0383,0.0383,3,2.959701716
2023-02-21 04:45:00,0.0383,0.0383,0.0383,0.0383,1,2.748294451
2023-02-21 07:00:00,0.0386,0.0386,0.0386,0.0386,2,2.766273419
2023-02-21 07:30:00,0.0385,0.0385,0.0385,0.0385,9,2.640111032
2023-02-21 08:00:00,0.0385,0.0386,0.0385,0.0385,5,2.522960244
2023-02-21 08:15:00,0.0390,0.0390,0.0390,0.0390,2,2.699891655
2023-02-21 08:45:00,0.0388,0.0388,0.0386,0.0386,5,2.792756537
2023-02-21 09:00:00,0.0385,0.0388,0.0381,0.0381,33,3.093273927
2023-02-21 09:15:00,0.0380,0.0384,0.0373,0.0374,96,3.658040075
2023-02-21 09:30:00,0.0373,0.0377,0.0373,0.0376,24,3.682465784
2023-02-21 09:45:00,0.0377,0.0380,0.0375,0.0380,106,3.776575371
2023-02-21 10:00:00,0.0381,0.0385,0.0381,0.0381,36,3.863962844
2023-02-21 10:15:00,0.0388,0.0388,0.0388,0.0388,3,4.087965498
2023-02-21 10:30:00,0.0390,0.0393,0.0390,0.0391,14,4.15311082
2023-02-21 10:45:00,0.0394,0.0395,0.0393,0.0393,36,4.142174333
2023-02-21 11:15:00,0.0393,0.0393,0.0393,0.0393,2,3.846304737
2023-02-21 11:45:00,0.0395,0.0395,0.0393,0.0393,8,3.714425828
2023-02-21 12:15:00,0.0391,0.0393,0.0391,0.0392,6,3.59196684
2023-02-21 12:30:00,0.0393,0.0393,0.0393,0.0393,13,3.406826351
2023-02-21 12:45:00,0.0393,0.0394,0.0393,0.0394,55,3.234910183
2023-02-21 13:00:00,0.0398,0.0402,0.0393,0.0399,42,3.646702313
2023-02-21 13:15:00,0.0400,0.0406,0.0400,0.0404,37,3.886223577
2023-02-21 13:30:00,0.0400,0.0400,0.0398,0.0399,27,4.037207607
2023-02-21 13:45:00,0.0394,0.0401,0.0393,0.0401,32,4.320264206
2023-02-21 14:00:00,0.0396,0.0397,0.0393,0.0395,128,4.583102477
2023-02-21 14:15:00,0.0393,0.0400,0.0393,0.0400,100,4.755738015
2023-02-21 14:30:00,0.0400,0.0417,0.0400,0.0410,252,5.630328156
2023-02-21 14:45:00,0.0408,0.0409,0.0402,0.0409,67,5.799590431
2023-02-21 15:00:00,0.0410,0.0413,0.0406,0.0406,117,5.885333972
2023-02-21 15:15:00,0.0406,0.0408,0.0400,0.0400,163,6.036381545
2023-02-21 15:30:00,0.0399,0.0399,0.0391,0.0393,114,6.248068578
2023-02-21 15:45:00,0.0394,0.0401,0.0393,0.0401,129,6.373206536
2023-02-21 16:00:00,0.0400,0.0400,0.0396,0.0397,37,6.275120355
2023-02-21 16:15:00,0.0397,0.0397,0.0392,0.0395,6,6.18404033
2023-02-21 16:30:00,0.0397,0.0397,0.0393,0.0397,11,6.028037449
2023-02-21 16:45:00,0.0400,0.0400,0.0391,0.0392,72,6.240320488
2023-02-21 17:00:00,0.0389,0.0392,0.0385,0.0387,19,6.294583311
2023-02-21 17:15:00,0.0386,0.0390,0.0385,0.0390,59,6.202113074
2023-02-21 17:30:00,0.0390,0.0392,0.0389,0.0390,86,5.973390712
2023-02-21 17:45:00,0.0391,0.0391,0.0382,0.0383,68,6.189577089
2023-02-21 18:00:00,0.0385,0.0387,0.0379,0.0379,102,6.318893012
2023-02-21 18:15:00,0.0381,0.0384,0.0381,0.0384,9,6.224686368
2023-02-21 18:30:00,0.0384,0.0384,0.0382,0.0384,7,5.922923056
2023-02-21 18:45:00,0.0382,0.0382,0.0378,0.0380,18,5.928428552
2023-02-21 19:00:00,0.0378,0.0387,0.0377,0.0385,27,6.219255084
2023-02-21 19:15:00,0.0385,0.0386,0.0370,0.0376,758,6.917879721
2023-02-21 19:30:00,0.0376,0.0381,0.0376,0.0380,113,6.780888312
2023-02-21 19:45:00,0.0381,0.0383,0.0381,0.0382,8,6.510824861
2023-02-21 20:00:00,0.0383,0.0383,0.0383,0.0383,3,6.117194514
2023-02-21 20:15:00,0.0382,0.0382,0.0381,0.0381,5,5.823109192
2023-02-21 20:30:00,0.0380,0.0380,0.0378,0.0378,50,5.621458535
2023-02-21 20:45:00,0.0378,0.0379,0.0378,0.0379,18,5.291354354
2023-02-21 21:00:00,0.0381,0.0381,0.0381,0.0381,1,5.056257614
2023-02-21 21:15:00,0.0381,0.0381,0.0381,0.0381,2,4.695096356
2023-02-21 21:30:00,0.0381,0.0381,0.0381,0.0381,2,4.359732331
2023-02-21 21:45:00,0.0382,0.0382,0.0382,0.0382,1,4.11975145
2023-02-22 08:30:00,0.0377,0.0377,0.0374,0.0374,2,4.396912061
2023-02-22 08:45:00,0.0375,0.0375,0.0375,0.0375,1,4.154275485
2023-02-22 09:15:00,0.0378,0.0378,0.0378,0.0378,1,4.071827236
2023-02-22 09:30:00,0.0382,0.0382,0.0382,0.0382,2,4.066696719
2023-02-22 09:45:00,0.0378,0.0378,0.0378,0.0378,5,4.061932668
2023-02-22 11:15:00,0.0385,0.0390,0.0385,0.0390,16,4.628937477
2023-02-22 11:30:00,0.0392,0.0392,0.0389,0.0390,15,4.5125848
2023-02-22 12:15:00,0.0394,0.0394,0.0394,0.0394,6,4.4759716
2023-02-22 12:30:00,0.0394,0.0394,0.0393,0.0394,72,4.227687915
2023-02-22 12:45:00,0.0394,0.0395,0.0392,0.0392,49,4.139995921
2023-02-22 13:00:00,0.0391,0.0393,0.0387,0.0387,29,4.272853355
2023-02-22 13:15:00,0.0387,0.0387,0.0385,0.0385,21,4.110506687
2023-02-22 13:30:00,0.0383,0.0387,0.0382,0.0386,34,4.174041923
2023-02-22 13:45:00,0.0388,0.0393,0.0388,0.0393,89,4.375896072
2023-02-22 14:00:00,0.0394,0.0395,0.0387,0.0392,84,4.634760638
2023-02-22 14:15:00,0.0388,0.0388,0.0382,0.0382,51,5.017992021
2023-02-22 14:30:00,0.0380,0.0384,0.0378,0.0384,480,5.088135448
2023-02-22 14:45:00,0.0380,0.0380,0.0377,0.0378,139,5.224697202
2023-02-22 15:00:00,0.0376,0.0377,0.0366,0.0368,238,5.708647402
2023-02-22 15:15:00,0.0366,0.0366,0.0348,0.0350,251,6.729458302
2023-02-22 15:30:00,0.0348,0.0348,0.0329,0.0335,237,7.748782709
2023-02-22 15:45:00,0.0340,0.0350,0.0339,0.0346,188,8.266726801
2023-02-22 16:00:00,0.0345,0.0351,0.0338,0.0349,105,8.604817744
2023-02-22 16:15:00,0.0351,0.0353,0.0341,0.0344,32,8.847330762
2023-02-22 16:30:00,0.0349,0.0350,0.0340,0.0340,14,8.929664279
2023-02-22 16:45:00,0.0344,0.0351,0.0343,0.0346,33,9.077545402
2023-02-22 17:00:00,0.0346,0.0350,0.0345,0.0347,18,8.786292159
2023-02-22 17:15:00,0.0348,0.0349,0.0345,0.0348,66,8.444414148
2023-02-22 17:30:00,0.0351,0.0356,0.0351,0.0356,56,8.41267028
2023-02-22 17:45:00,0.0353,0.0353,0.0341,0.0341,52,8.883193831
2023-02-22 18:00:00,0.0341,0.0344,0.0336,0.0344,130,8.820108558
